ID,X,Y
0,539031.0,631327.7142857143
1,539039.5806451613,631623.9032258064
2,539090.1860465116,631689.8023255814
3,539044.2,631691.4
4,539121.05,631761.375
5,539116.1414141414,631735.2020202021
6,539071.2857142857,631527.1428571428
7,539235.7,631415.75
8,538976.875,631366.0416666666
9,538893.5454545454,631418.2727272727
10,539112.0,631603.3617021276
11,538981.0,631388.5
12,539207.03125,631760.0625
13,538897.0,631471.5
14,539064.9709302326,631703.4186046511
15,539019.6470588235,631363.6176470588
16,539056.9090909091,631239.8636363636
17,538935.6666666666,631403.3333333334
18,539024.2,631662.6571428571
19,539065.1764705882,631593.3529411765
20,539109.6451612903,631693.3548387097
21,539110.5,631700.5
22,539151.5,631651.5
23,539151.5,631702.0
24,539008.5,631326.5
25,539147.8,631609.4
26,539102.9069767442,631641.6511627907
27,539006.3529411765,631522.9705882353
28,538828.8780487805,631423.1463414634
29,539039.2727272727,631264.7272727273
30,539001.2307692308,631479.8205128205
31,538828.5,631386.5
32,539045.0,631475.5
33,539054.2,631739.4
34,538828.5,631457.0
35,539138.5,631732.25
36,538782.2,631421.6
37,539006.5,631705.5
