ID,X,Y
1,539041.0,631623.0
1,539041.0,631624.0
1,539123.0,631735.0
0,539238.0,631417.0
0,539238.0,631416.0
0,539238.0,631418.0
0,539238.0,631415.0
1,538894.0,631416.0
1,539115.0,631603.0
1,538894.0,631417.0
1,538894.0,631418.0
1,538894.0,631419.0
1,538894.0,631420.0
1,538894.0,631421.0
1,538894.0,631422.0
1,539115.0,631604.0
1,539123.0,631764.0
1,539123.0,631765.0
1,539123.0,631760.0
1,539123.0,631761.0
1,539123.0,631762.0
1,539123.0,631763.0
0,539058.0,631242.0
0,539058.0,631241.0
0,539058.0,631239.0
0,539058.0,631238.0
0,539058.0,631237.0
1,539017.0,631364.0
1,539017.0,631365.0
1,539074.0,631698.0
1,539074.0,631697.0
1,539074.0,631696.0
1,538976.0,631369.0
1,538976.0,631368.0
0,538935.0,631403.0
1,538976.0,631365.0
1,538976.0,631367.0
1,538976.0,631366.0
1,539074.0,631695.0
1,539074.0,631694.0
0,539205.0,631760.0
1,539074.0,631693.0
1,539205.0,631757.0
1,539115.0,631731.0
1,539115.0,631735.0
1,539115.0,631734.0
1,539115.0,631733.0
1,539115.0,631732.0
0,539066.0,631595.0
0,539066.0,631593.0
0,539066.0,631592.0
1,539115.0,631738.0
1,539115.0,631737.0
1,539115.0,631736.0
0,539066.0,631591.0
1,539115.0,631740.0
1,539115.0,631691.0
1,539115.0,631692.0
1,539115.0,631704.0
1,539115.0,631763.0
1,539115.0,631764.0
1,539025.0,631664.0
1,539025.0,631659.0
1,539025.0,631662.0
1,539025.0,631663.0
1,539025.0,631660.0
1,539025.0,631661.0
1,539066.0,631704.0
1,539066.0,631697.0
1,539066.0,631696.0
1,539066.0,631703.0
1,539066.0,631702.0
1,539066.0,631701.0
0,539025.0,631762.0
0,539025.0,631760.0
0,539025.0,631761.0
0,539025.0,631758.0
0,539025.0,631759.0
0,539025.0,631757.0
0,539009.0,631326.0
0,539009.0,631327.0
0,539148.0,631609.0
0,539148.0,631610.0
1,539107.0,631643.0
1,539107.0,631642.0
1,539107.0,631691.0
1,539107.0,631694.0
1,539107.0,631693.0
1,539107.0,631692.0
1,539058.0,631707.0
1,539058.0,631711.0
1,539058.0,631710.0
1,539058.0,631709.0
1,539058.0,631708.0
1,539058.0,631713.0
1,539058.0,631712.0
1,539009.0,631523.0
1,539009.0,631524.0
1,539189.0,631752.0
1,539140.0,631693.0
0,538829.0,631387.0
0,538829.0,631386.0
0,538829.0,631385.0
1,539001.0,631482.0
1,539001.0,631483.0
1,539001.0,631480.0
1,539001.0,631481.0
0,538829.0,631458.0
0,538829.0,631457.0
1,539001.0,631484.0
0,538829.0,631456.0
1,539001.0,631485.0
1,539140.0,631764.0
1,538829.0,631423.0
1,538829.0,631422.0
1,538829.0,631421.0
1,538829.0,631420.0
1,538829.0,631419.0
1,538829.0,631428.0
1,538829.0,631427.0
1,538829.0,631426.0
1,538829.0,631425.0
1,538829.0,631424.0
1,539001.0,631478.0
1,539001.0,631479.0
1,539001.0,631476.0
1,539001.0,631477.0
0,539140.0,631732.0
1,539050.0,631623.0
0,539140.0,631731.0
1,539034.0,631326.0
1,539034.0,631324.0
1,539034.0,631325.0
1,539091.0,631687.0
1,539091.0,631686.0
1,539091.0,631685.0
1,539091.0,631691.0
1,539091.0,631690.0
1,539091.0,631689.0
1,539091.0,631688.0
1,539091.0,631693.0
1,539091.0,631692.0
1,539042.0,631624.0
1,539042.0,631625.0
1,539042.0,631623.0
1,539026.0,631328.0
1,539083.0,631691.0
1,539083.0,631690.0
1,539083.0,631688.0
1,539083.0,631692.0
1,539124.0,631764.0
1,539124.0,631765.0
1,539124.0,631762.0
1,539124.0,631763.0
1,538936.0,631403.0
1,538977.0,631365.0
1,538936.0,631404.0
1,538977.0,631367.0
1,538977.0,631366.0
0,539206.0,631757.0
0,539206.0,631759.0
0,539206.0,631758.0
1,538977.0,631369.0
1,538977.0,631368.0
1,538895.0,631416.0
1,539116.0,631603.0
1,538895.0,631417.0
0,538895.0,631421.0
1,539116.0,631604.0
1,539116.0,631692.0
1,539116.0,631711.0
1,539075.0,631697.0
1,539075.0,631696.0
1,539075.0,631695.0
0,539206.0,631761.0
1,539075.0,631694.0
0,539206.0,631760.0
1,539075.0,631693.0
0,539206.0,631762.0
1,539018.0,631364.0
1,539018.0,631365.0
0,539067.0,631592.0
1,539026.0,631659.0
1,539026.0,631663.0
1,539116.0,631763.0
1,539116.0,631762.0
1,539116.0,631738.0
1,539116.0,631737.0
1,539116.0,631736.0
0,539067.0,631591.0
1,539116.0,631743.0
1,539116.0,631731.0
1,539116.0,631730.0
1,539116.0,631735.0
1,539116.0,631734.0
1,539116.0,631733.0
1,539116.0,631732.0
0,539010.0,631327.0
1,539026.0,631664.0
