0	4892.0	7706.0	49.0	2	1375.0	1345	2625.0	4500.0
1	13.0	25.0	14.0	1	0.0	45	63.0	406.0
2	41.0	43.0	9.0	1	0.0	18	15.0	250.0
3	20.0	15.0	9.0	1	0.0	12	15.0	250.0
4	26.0	84.0	20.0	1	0.0	57	203.0	500.0
5	120.0	158.0	36.0	1	15.0	27	63.0	313.0
6	9.0	12.0	9.0	1	0.0	7	0.0	250.0
7	45.0	15.0	13.0	1	0.0	18	47.0	297.0
8	23.0	87.0	18.0	1	0.0	38	94.0	328.0
9	17.0	40.0	14.0	1	0.0	21	31.0	281.0
10	36.0	12.0	9.0	1	0.0	32	62.0	297.0
11	2.0	5.0	5.0	1	0.0	3	0.0	234.0
12	5.0	70.0	17.0	1	0.0	14	62.0	297.0
13	68.0	94.0	51.0	1	0.0	82	234.0	485.0
14	25.0	11.0	7.0	1	0.0	23	16.0	265.0
15	22.0	7.0	5.0	1	0.0	16	31.0	250.0
16	94.0	36.0	5.0	1	0.0	139	500.0	750.0
17	41.0	105.0	5.0	1	0.0	14	31.0	282.0
18	36.0	54.0	18.0	1	0.0	33	32.0	265.0
19	28.0	17.0	7.0	1	0.0	14	0.0	266.0
20	24.0	28.0	8.0	1	0.0	6	0.0	234.0
21	161.0	86.0	104.0	1	16.0	145	109.0	344.0
22	49.0	16.0	18.0	1	0.0	8	0.0	234.0
23	53.0	17.0	19.0	1	0.0	6	15.0	235.0
24	62.0	26.0	21.0	1	0.0	13	15.0	250.0
25	28.0	5.0	8.0	1	0.0	6	15.0	234.0
26	81.0	105.0	55.0	1	0.0	85	62.0	297.0
27	14.0	9.0	4.0	1	0.0	6	0.0	219.0
28	24.0	12.0	4.0	1	0.0	5	16.0	219.0
29	46.0	13.0	9.0	1	0.0	6	15.0	218.0
30	21.0	25.0	7.0	1	0.0	7	0.0	235.0
31	19.0	30.0	9.0	1	0.0	12	16.0	219.0
32	16.0	3.0	5.0	1	0.0	6	0.0	218.0
33	25.0	7.0	4.0	1	0.0	5	0.0	219.0
34	5.0	52.0	9.0	1	0.0	7	16.0	219.0
35	58.0	44.0	19.0	1	16.0	73	31.0	265.0
36	12.0	137.0	22.0	1	0.0	32	94.0	313.0
37	13.0	123.0	15.0	1	0.0	33	93.0	312.0
38	4.0	72.0	8.0	1	0.0	25	46.0	266.0
39	5.0	65.0	9.0	1	0.0	26	47.0	266.0
40	35.0	48.0	19.0	1	0.0	20	15.0	250.0
41	66.0	141.0	77.0	1	16.0	103	156.0	375.0
42	143.0	241.0	36.0	1	16.0	26	171.0	406.0
43	51.0	28.0	28.0	1	0.0	191	78.0	281.0
44	34.0	10.0	5.0	1	0.0	66	31.0	266.0
45	20.0	10.0	7.0	1	0.0	38	16.0	219.0
46	11.0	25.0	5.0	1	0.0	30	16.0	250.0
47	99.0	112.0	21.0	1	0.0	340	312.0	531.0
48	93.0	102.0	94.0	2	16.0	52	47.0	266.0
49	54.0	72.0	23.0	1	0.0	9	32.0	265.0
50	110.0	125.0	7.0	1	0.0	68	234.0	453.0
